season,episode,title,date,rating, people
S9, E1, The Magician's Apprentice,"Sat, Sep 19, 2015",8.4, (6.8K)

S9, E2, The Witch's Familiar,"Sat, Sep 26, 2015",8.4, (6.1K)

S9, E3, Under the Lake,"Sat, Oct 3, 2015",8.1, (5.9K)

S9, E4, Before the Flood,"Sat, Oct 10, 2015",8.0, (5.6K)

S9, E5, The Girl Who Died,"Sat, Oct 17, 2015",7.4, (5.6K)

S9, E6, The Woman Who Lived,"Sat, Oct 24, 2015",7.3, (5.5K)

S9, E7, The Zygon Invasion,"Sat, Oct 31, 2015",7.7, (5.4K)

S9, E8, The Zygon Inversion,"Sat, Nov 7, 2015",8.4, (5.8K)

S9, E9, Sleep No More,"Sat, Nov 14, 2015",5.8, (5.8K)

S9, E10, Face the Raven,"Sat, Nov 21, 2015",8.5, (6.4K)

S9, E11, Heaven Sent,"Sat, Nov 28, 2015",9.6, (13K)

S9, E12, Hell Bent,"Sat, Dec 5, 2015",8.6, (7.2K)

S10, E0, The Return of Doctor Mysterio,"Sun, Dec 25, 2016",7.3, (5.9K)

S10, E1, The Pilot,"Sat, Apr 15, 2017",7.8, (5.8K)

S10, E2, Smile,"Sat, Apr 22, 2017",7.2, (5.1K)

S10, E3, Thin Ice,"Sat, Apr 29, 2017",7.2, (4.9K)

S10, E4, Knock Knock,"Sat, May 6, 2017",7.3, (4.8K)

S10, E5, Oxygen,"Sat, May 13, 2017",7.9, (5K)

S10, E6, Extremis,"Sat, May 20, 2017",8.3, (5.1K)

S10, E7, The Pyramid at the End of the World,"Sat, May 27, 2017",7.6, (4.5K)

S10, E8, The Lie of the Land,"Sat, Jun 3, 2017",7.1, (4.4K)

S10, E9, Empress of Mars,"Sat, Jun 10, 2017",7.0, (4.3K)

S10, E10, The Eaters of Light,"Sat, Jun 17, 2017",6.8, (4.3K)

S10, E11, World Enough and Time,"Sat, Jun 24, 2017",9.1, (6K)

S10, E12, The Doctor Falls,"Sat, Jul 1, 2017",9.0, (6K)

S11, E0, Twice Upon a Time,"Mon, Dec 25, 2017",8.3, (7.7K)

S11, E1, The Woman Who Fell to Earth,"Sun, Oct 7, 2018",7.0, (11K)

S11, E2, The Ghost Monument,"Sun, Oct 14, 2018",6.1, (8.9K)

S11, E3, Rosa,"Sun, Oct 21, 2018",7.1, (10K)

S11, E4, Arachnids in the UK,"Sun, Oct 28, 2018",5.1, (8.3K)

S11, E5, The Tsuranga Conundrum,"Sun, Nov 4, 2018",5.1, (7.7K)

S11, E6, Demons of the Punjab,"Sun, Nov 11, 2018",6.6, (7.9K)

S11, E7, Kerblam!,"Sun, Nov 18, 2018",6.3, (7K)

S11, E8, The Witchfinders,"Sun, Nov 25, 2018",5.8, (6.6K)

S11, E9, It Takes You Away,"Sun, Dec 2, 2018",6.3, (6.4K)

S11, E10, The Battle of Ranskoor Av Kolos,"Sun, Dec 9, 2018",5.3, (5.9K)

S12, E1, Spyfall: Part One,"Wed, Jan 1, 2020",6.7, (6.6K)

S12, E2, Spyfall: Part Two,"Sun, Jan 5, 2020",6.5, (6K)

S12, E3, Orphan 55,"Sun, Jan 12, 2020",4.2, (6.7K)

S12, E4, Nikola Tesla's Night of Terror,"Sun, Jan 19, 2020",6.6, (5.5K)

S12, E5, Fugitive of the Judoon,"Sun, Jan 26, 2020",7.6, (6K)

S12, E6, Praxeus,"Sun, Feb 2, 2020",5.2, (5K)

S12, E7, Can You Hear Me?,"Sun, Feb 9, 2020",5.7, (4.6K)

S12, E8, The Haunting of Villa Diodati,"Sun, Feb 16, 2020",7.2, (4.9K)

S12, E9, Ascension of the Cybermen,"Sun, Feb 23, 2020",6.6, (4.5K)

S12, E10, The Timeless Children,"Sun, Mar 1, 2020",5.1, (6.3K)

S13, E1, Flux: Chapter One - The Halloween Apocalypse,"Sun, Oct 31, 2021",6.7, (4.7K)

S13, E2, Flux: Chapter Two - War of the Sontarans,"Sun, Nov 7, 2021",7.1, (3.8K)

S13, E3, Flux: Chapter Three - Once, Upon Time, "Sun, Nov 14, 2021",6.0, (3.5K)

S13, E4, Flux: Chapter Four - Village of the Angels,"Sun, Nov 21, 2021",7.7, (3.8K)

S13, E5, Flux: Chapter Five - Survivors of the Flux,"Sun, Nov 28, 2021",6.2, (3.2K)

S13, E6, Flux: Chapter Six - The Vanquishers,"Sun, Dec 5, 2021",5.4, (3.3K)

The Next Doctor,"Thu, Dec 25, 2008",7.4, (5.6K)

Planet of the Dead,"Sat, Apr 11, 2009",7.4, (5.6K)

The Waters of Mars,"Sun, Nov 15, 2009",8.8, (7.2K)

The End of Time: Part One,"Fri, Dec 25, 2009",8.2, (6.5K)

The End of Time: Part Two,"Fri, Jan 1, 2010",8.9, (7.2K)

The Day of the Doctor,"Sat, Nov 23, 2013",9.3, (20K)

The Husbands of River Song,"Fri, Dec 25, 2015",8.5, (6.4K)

Resolution,"Tue, Jan 1, 2019",6.0, (5.8K)

Revolution of the Daleks,"Fri, Jan 1, 2021",6.0, (4.2K)

Eve of the Daleks,"Sat, Jan 1, 2022",6.7, (3.4K)

Legend of the Sea Devils,"Sun, Apr 17, 2022",4.6, (3.2K)

The Power of the Doctor,"Sun, Oct 23, 2022",7.6, (4.1K)

